project_name,token_symbol,circulating_supply,unlock_amount,unlock_percent,unlock_date
Army of Fortune Gem,AFG,4.59E+08,18300000,1.83,2026-03-27 23:24:00 UTC
Lnfi Network,LN,1.05E+08,14010000,1.4,2026-03-27 23:24:00 UTC
Treehouse,TREE,1.56E+08,15660000,1.57,2026-03-27 23:24:00 UTC
WLTH,WLTH,9.10E+08,14550000,1.46,2026-03-27 23:24:00 UTC
LandRocker,LRT,4.07E+09,2.29E+08,2.29,2026-03-27 23:24:00 UTC
UpRock,UPT,1.61E+08,33520000,3.35,2026-03-27 23:24:00 UTC
Corite,CO,1.22E+08,24890000,2.49,2026-03-27 23:24:00 UTC
VTRADING,VT,2.10E+08,13330000,1.33,2026-03-27 23:24:00 UTC
Banksters Token,BARS,3.00E+08,5250000,1.75,2026-03-27 23:24:00 UTC
Bware,INFRA,4130000,1530000,1.53,2026-03-27 23:24:00 UTC
Portal,PORTAL,7.56E+08,18240000,1.82,2026-03-27 23:24:00 UTC
QnA3.AI,GPT,8.32E+08,17190000,1.72,2026-03-27 23:24:00 UTC
Legends of Elysium,LOE,13760000,1990000,1,2026-03-27 23:24:00 UTC
Undeads Games,UDS,99260000,3180000,1.27,2026-03-27 23:24:00 UTC
Talken,TALK,3.77E+08,10240000,2.05,2026-03-27 23:24:00 UTC
Defi App,HOME,3.44E+09,1.33E+08,1.33,2026-03-27 23:24:00 UTC
Castle of Blackwater,COBE,7800000,2740000,2.74,2026-03-27 23:24:00 UTC
Trinity Of The Fabled,ABYS,6.00E+08,11970000,1.99,2026-03-27 23:24:00 UTC
Reddio,RDO,2.61E+09,1.94E+08,1.94,2026-03-27 23:24:00 UTC
Piggycell,PIGGY,57940000,1700000,1.69,2026-03-27 23:24:00 UTC
Marina Protocol,BAY,2.00E+08,14080000,1.41,2026-03-27 23:24:00 UTC
MIA,MIA,1.16E+08,48330000,4.83,2026-03-28 23:24:00 UTC
Paxi Network,PAXI,48440000,5000000,6.64,2026-03-28 23:24:00 UTC
Big Time,BIGTIME,2.08E+09,6.00E+08,12,2026-03-29 23:24:00 UTC
Luxxcoin,LUX,2.28E+09,1.44E+09,1.44,2026-03-30 08:24:00 UTC
Orta Chain,ORTA,28750000,10000000,10,2026-03-31 12:24:00 UTC
Drep [new],DREP,1.00E+08,1710000,1.71,2026-03-31 23:24:00 UTC
LF,LF,2.98E+09,2.50E+08,2.5,2026-03-31 23:24:00 UTC
Bitcoin Limited Edition,BTCLE,15570,2.80E+12,1.33,2026-03-31 23:24:00 UTC
Fragmetric,FRAG,1.83E+08,20630000,2.06,2026-04-01 06:54:00 UTC
Openverse Network,BTG,1900000,2.00E+14,1,2026-04-01 23:24:00 UTC
Fractal Network,FRA,1.14E+10,1.34E+09,6.36,2026-04-04 23:24:00 UTC
Xterio,XTER,1.60E+08,44530000,4.45,2026-04-07 23:24:00 UTC
DEAPcoin,DEP,2.99E+10,1.44E+09,4.8,2026-04-07 23:24:00 UTC
Wonderman Nation,WNDR,14210000,18600000,3.72,2026-04-08 23:24:00 UTC
GameGPT,DUEL,8.39E+09,3.41E+08,3.43,2026-04-11 23:24:00 UTC
MOBOX,MBOX,5.00E+08,50000000,9.09,2026-04-11 23:24:00 UTC
KonnektVPN,KPN,32140000,27000000,9,2026-04-14 23:24:00 UTC
KULA,KULA,3.70E+08,1.99E+09,19.93,2026-04-14 23:24:00 UTC
Sign,SIGN,1.64E+09,4.01E+08,4.01,2026-04-15 09:24:00 UTC
deBridge,DBR,1.92E+09,6.42E+08,6.42,2026-04-16 23:24:00 UTC
Lumia,LUMIA,1.41E+08,6410000,2.68,2026-04-17 23:24:00 UTC
Orion,ORN,34140000,6410000,4.38,2026-04-18 03:24:00 UTC
MWX Token,MWXT,1.50E+08,17920000,1.79,2026-04-24 05:24:00 UTC
AVA (Travala),AVA,72160000,1110000,1.11,2026-04-30 23:24:00 UTC
Open Loot,OL,7.82E+08,1.50E+08,3,2026-04-30 23:24:00 UTC
Kite,KITE,1.80E+09,3.73E+08,3.73,2026-04-30 23:24:00 UTC
Dohrnii,DHN,17070000,9860000,2.65,2026-05-03 23:24:00 UTC
Heroes of Mavia,MAVIA,2.45E+08,10770000,4.19,2026-05-05 23:24:00 UTC
Automata Network,ATA,9.47E+08,25230000,2.52,2026-05-06 23:24:00 UTC
Finblox,FBX,2.00E+09,3.10E+08,3.1,2026-05-14 23:24:00 UTC
PublicAI,PUBLIC,2.09E+08,30290000,3.03,2026-05-15 12:24:00 UTC
UCBI Banking,UCBI,5880000,1290000,10.72,2026-05-15 23:24:00 UTC
Reppo,REPPO,2.98E+08,36930000,3.69,2026-05-19 23:24:00 UTC
Epiko,EPIKO,1.75E+08,52500000,17.5,2026-05-19 23:24:00 UTC
Pyth Network,PYTH,5.74E+09,2.13E+09,21.25,2026-05-19 23:24:00 UTC
Huma Finance,HUMA,2.89E+09,5.32E+08,5.32,2026-05-24 23:24:00 UTC
EPIK Prime,EPIK,1.28E+09,35380000,1.77,2026-05-26 23:24:00 UTC
TokenBot,TBOT,5.89E+08,1.08E+08,10.76,2026-05-30 23:24:00 UTC
DIA,DIA,1.20E+08,7690000,3.84,2026-05-31 23:24:00 UTC
IMVU,VCORE,2.26E+08,1.80E+08,2.25,2026-06-19 23:24:00 UTC
NKN,NKN,7.98E+08,12120000,1.21,2026-06-29 23:24:00 UTC
Pepper,PEPPER,1.00E+09,1.20E+08,12,2026-07-01 04:24:00 UTC
Succinct,PROVE,1.95E+08,3.13E+08,31.25,2026-08-05 09:24:00 UTC
Liquid Mercury,MERC,2.14E+09,1.00E+09,16.67,2026-08-13 23:24:00 UTC
Wombat Exchange,WOM,58520000,40000000,4,2026-08-27 23:24:00 UTC
Crosswalk,CSW,8.88E+09,1.11E+08,1.25,2026-09-05 23:24:00 UTC
SmarDex,SDEX,9.26E+09,2.34E+08,2.34,2026-09-07 23:24:00 UTC
Fogo,FOGO,3.78E+09,1.57E+09,15.76,2026-09-25 23:24:00 UTC
Lumerin,LMR,6.07E+08,25000000,2.5,2026-09-27 23:24:00 UTC
DoubleZero,2Z,3.47E+09,1.78E+09,17.79,2026-10-02 12:24:00 UTC
UNICE,UNICE,2.72E+08,1.13E+08,11.33,2026-10-07 23:24:00 UTC
xMoney,UTK,7.04E+08,21600000,2.16,2026-10-20 23:24:00 UTC
JETMAX,JET,7740000,3.28E+08,32.83,2026-10-22 05:46:00 UTC
E2P Token,E2P,6.00E+09,6.00E+09,60,2026-10-28 07:24:00 UTC
Viction,VIC,1.25E+08,20000000,9.52,2026-10-28 23:24:00 UTC
Janction,JCT,1.15E+10,1.29E+09,2.57,2026-11-09 23:24:00 UTC
FC Porto Fan Token,PORTO,12980000,3830000,9.58,2026-11-14 23:24:00 UTC
Monad,MON,1.08E+10,1.05E+09,1.05,2026-11-24 09:24:00 UTC
Jackson,JACKSON,3.29E+09,2.23E+09,22.33,2026-11-30 23:24:00 UTC
Portuma,POR,3.78E+09,2.00E+09,20,2026-12-30 14:24:00 UTC
GOHOME,GOHOME,499890,250000,2.5,2026-12-30 23:24:00 UTC
SMART,SMART,6.72E+09,2.08E+11,24.8,2026-12-31 23:24:00 UTC
Ondo,ONDO,4.86E+09,1.71E+09,17.1,2027-01-17 23:24:00 UTC
IDNGold,IDNG,40000000,60000000,60,2027-01-27 23:24:00 UTC
Enzyme,MLN,2970000,3.00E+11,2.7,2027-02-14 23:24:00 UTC
uTrade,UTT,5000000,22500000,45,2027-08-31 23:24:00 UTC
WOO,WOO,1.88E+09,3.00E+08,13.52,2032-10-30 23:24:00 UTC
Ultima,ULTIMA,37400,20860,20.86,2033-08-31 23:24:00 UTC
iExec RLC,RLC,86990000,6000000,6.9,2035-04-01 12:24:00 UTC
iExec RLC,RLC,86990000,6000000,6.9,2035-04-01 12:24:00 UTC
Ethena,ENA,5000000000,171870000,3.44,2026-04-05 00:00:00 UTC
Ethena,ENA,5000000000,171870000,3.44,2026-05-05 00:00:00 UTC
Ethena,ENA,5000000000,171870000,3.44,2026-06-05 00:00:00 UTC
Ethena,ENA,5000000000,171870000,3.44,2026-07-05 00:00:00 UTC
Ethena,ENA,5000000000,171870000,3.44,2026-08-05 00:00:00 UTC
Ethena,ENA,5000000000,171870000,3.44,2026-09-05 00:00:00 UTC
Ethena,ENA,5000000000,171870000,3.44,2026-10-05 00:00:00 UTC
Ethena,ENA,5000000000,171870000,3.44,2026-11-05 00:00:00 UTC
Ethena,ENA,5000000000,171870000,3.44,2026-12-05 00:00:00 UTC
Ethena,ENA,5000000000,171870000,3.44,2027-01-05 00:00:00 UTC
Sei,SEI,6730000000,121000000,1.8,2026-04-14 23:25:00 UTC
Sei,SEI,6730000000,121000000,1.8,2026-05-14 23:25:00 UTC
Sei,SEI,6730000000,121000000,1.8,2026-06-14 23:25:00 UTC
Sei,SEI,6730000000,121000000,1.8,2026-07-14 23:25:00 UTC
Sei,SEI,6730000000,121000000,1.8,2026-08-14 23:25:00 UTC
Sei,SEI,6730000000,121000000,1.8,2026-09-14 23:25:00 UTC
Sei,SEI,6730000000,121000000,1.8,2026-10-14 23:25:00 UTC
Sei,SEI,6730000000,121000000,1.8,2026-11-14 23:25:00 UTC
Sei,SEI,6730000000,121000000,1.8,2026-12-14 23:25:00 UTC
Starknet,STRK,5440000000,163000000,3,2026-04-14 23:25:00 UTC
Starknet,STRK,5440000000,163000000,3,2026-05-14 23:25:00 UTC
Starknet,STRK,5440000000,163000000,3,2026-06-14 23:25:00 UTC
Starknet,STRK,5440000000,163000000,3,2026-07-14 23:25:00 UTC
Starknet,STRK,5440000000,163000000,3,2026-08-14 23:25:00 UTC
Starknet,STRK,5440000000,163000000,3,2026-09-14 23:25:00 UTC
Starknet,STRK,5440000000,163000000,3,2026-10-14 23:25:00 UTC
Starknet,STRK,5440000000,163000000,3,2026-11-14 23:25:00 UTC
Starknet,STRK,5440000000,163000000,3,2026-12-14 23:25:00 UTC
Hyperliquid,HYPE,200000000,15000000,7.5,2026-03-01 23:25:00 UTC
Hyperliquid,HYPE,200000000,15000000,7.5,2026-04-01 23:25:00 UTC
Hyperliquid,HYPE,200000000,15000000,7.5,2026-05-01 23:25:00 UTC
Hyperliquid,HYPE,200000000,15000000,7.5,2026-06-01 23:25:00 UTC
Hyperliquid,HYPE,200000000,15000000,7.5,2026-07-01 23:25:00 UTC
Hyperliquid,HYPE,200000000,15000000,7.5,2026-08-01 23:25:00 UTC
Hyperliquid,HYPE,200000000,15000000,7.5,2026-09-01 23:25:00 UTC
Hyperliquid,HYPE,200000000,15000000,7.5,2026-10-01 23:25:00 UTC
Hyperliquid,HYPE,200000000,15000000,7.5,2026-11-01 23:25:00 UTC
Hyperliquid,HYPE,200000000,15000000,7.5,2026-12-01 23:25:00 UTC
Celestia,TIA,1000000000,50000000,5,2026-03-01 23:25:00 UTC
Celestia,TIA,1000000000,50000000,5,2026-04-01 23:25:00 UTC
Celestia,TIA,1000000000,50000000,5,2026-05-01 23:25:00 UTC
Celestia,TIA,1000000000,50000000,5,2026-06-01 23:25:00 UTC
Celestia,TIA,1000000000,50000000,5,2026-07-01 23:25:00 UTC
Celestia,TIA,1000000000,50000000,5,2026-08-01 23:25:00 UTC
Celestia,TIA,1000000000,50000000,5,2026-09-01 23:25:00 UTC
Celestia,TIA,1000000000,50000000,5,2026-10-01 23:25:00 UTC
Celestia,TIA,1000000000,50000000,5,2026-11-01 23:25:00 UTC
Celestia,TIA,1000000000,50000000,5,2026-12-01 23:25:00 UTC
Sui,SUI,10000000000,53400000,0.53,2026-04-01 00:00:00 UTC
Sui,SUI,10000000000,52020000,0.52,2026-05-01 00:00:00 UTC
Sui,SUI,10000000000,23770000,0.24,2026-06-01 00:00:00 UTC
Sui,SUI,10000000000,23130000,0.23,2026-07-01 00:00:00 UTC
Sui,SUI,10000000000,22190000,0.22,2026-08-01 00:00:00 UTC
Sui,SUI,10000000000,22000000,0.22,2026-09-01 00:00:00 UTC
Sui,SUI,10000000000,21730000,0.22,2026-10-01 00:00:00 UTC
Sui,SUI,10000000000,20770000,0.21,2026-11-01 00:00:00 UTC
Sui,SUI,10000000000,20590000,0.21,2026-12-01 00:00:00 UTC
Sui,SUI,10000000000,20460000,0.2,2027-01-01 00:00:00 UTC
Aptos,APT,0,11710000,0.01,1999-12-31 00:27:17 UTC
Cheel,CHEEL,0,2640000,0.01,1999-12-31 00:27:17 UTC
Ace,ACE,0,272990,0.02,1999-12-31 00:27:16 UTC
Nyan,NYAN,0,3900,0.01,1999-12-31 00:27:16 UTC
Puffer,PUFFER,0,557940,0.11,1999-12-31 00:27:16 UTC
Wbt,WBT,0,4520000000,0.28,1999-12-31 00:27:16 UTC
Htm,HTM,0,5790,0,2000-12-31 00:27:16 UTC
Xcn,XCN,0,1500000,0.01,2001-01-31 00:27:15 UTC
Wct,WCT,0,745290,0.04,2001-01-31 00:27:15 UTC
Conx,CONX,0,15380000,0.02,2001-01-31 00:27:15 UTC
Fort,FORT,0,706,,2001-01-31 00:27:15 UTC
Gswift,GSWIFT,0,4830,0.01,2001-01-31 00:27:14 UTC
Hook,HOOK,0,87510,0.01,2001-01-31 00:27:14 UTC
Starknet,STRK,0,5100000,0.04,2001-01-31 00:27:14 UTC
Cyber,CYBER,0,737670,0.01,2001-02-28 00:27:14 UTC
Cypr,CYPR,0,19460,0.02,2001-02-28 00:27:14 UTC
Sei,SEI,0,4770000,0.01,2001-02-28 00:27:12 UTC
Gal,GAL,0,273210,0,2001-02-28 00:27:12 UTC
Tribl,TRIBL,0,428,0.01,2001-02-28 00:27:12 UTC
Vrtx,VRTX,0,356,0,2001-02-28 00:27:12 UTC
Arbitrum,ARB,0,9600000,0.02,2001-03-31 00:27:12 UTC
Astr,ASTR,0,74380,0,2001-03-31 00:27:12 UTC
Flix,FLIX,0,30610,0.02,2001-03-31 00:27:12 UTC
Svl,SVL,0,197000,0,2001-03-31 00:27:12 UTC
Yala,YALA,0,7540,0.04,2001-03-31 00:27:12 UTC
Zk,ZK,0,3290000,0.03,2001-04-30 00:27:11 UTC
Solv,SOLV,0,835330,0.06,2001-04-30 00:27:11 UTC
Bmt,BMT,0,514900,0.02,2001-04-30 00:27:11 UTC
Cati,CATI,0,798650,0.04,2001-04-30 00:27:11 UTC
Iota,IOTA,0,781880,0,2001-04-30 00:27:11 UTC
Bard,BARD,0,34870000,0.11,2001-04-30 00:27:10 UTC
Navx,NAVX,0,26330,0,2001-04-30 00:27:09 UTC
Aero,AERO,0,1320000,,2001-05-31 00:27:09 UTC
Mmx,MMX,0,23150,0.01,2001-05-31 00:27:09 UTC
Zkj,ZKJ,0,710940,0.06,2001-05-31 00:27:09 UTC
Pyr,PYR,0,12340,0,2001-05-31 00:27:08 UTC
Yzy,YZY,0,6760000,0.05,2001-05-31 00:28:00 UTC
Pixel,PIXEL,0,,0.04,2001-06-30 00:27:08 UTC
Br,BR,0,,0.68,2001-06-30 00:27:08 UTC
Lista,LISTA,0,141320,0.06,2001-07-31 00:27:07 UTC
Zro,ZRO,0,,0.06,2001-07-31 00:27:07 UTC
W,W,0,183070,0.01,2001-07-31 00:57:07 UTC
Kaito,KAITO,0,,0.05,2001-07-31 00:27:07 UTC
Dmc,DMC,0,,0.07,2001-08-31 00:27:07 UTC
River,RIVER,0,18160000,0.02,2001-08-31 00:27:06 UTC
Id,ID,0,,0.05,2001-08-31 00:27:06 UTC
Mbg,MBG,0,,0.1,2001-09-30 00:27:06 UTC
Karrat,KARRAT,0,,0.05,2001-09-30 00:27:06 UTC
Xmw,XMW,0,2010,0.01,2001-09-30 00:27:05 UTC
Mura,MURA,0,,0.01,2001-09-30 00:27:05 UTC
Slf,SLF,0,,0.01,2001-09-30 00:27:05 UTC
Uds,UDS,0,,0.01,2001-09-30 00:27:05 UTC
Voxel,VOXEL,0,4770,0,2001-09-30 00:27:05 UTC
Avail,AVAIL,0,,0.05,2001-10-31 00:27:04 UTC
Soon,SOON,0,,0.05,2001-10-31 00:57:04 UTC
Anime,ANIME,0,,0.02,2001-10-31 00:27:04 UTC
Met,MET,0,,0.01,2001-10-31 00:27:04 UTC
Dolo,DOLO,0,,0.01,2001-10-31 00:27:04 UTC
Newt,NEWT,0,,0.02,2001-10-31 00:27:03 UTC
Soso,SOSO,0,,0.05,2001-11-30 00:27:03 UTC
Nil,NIL,0,,0.36,2001-11-30 00:27:03 UTC
Mon,MON,0,,0,2001-11-30 00:27:03 UTC
Aca,ACA,0,,0.01,2001-11-30 00:27:02 UTC
Gau,GAU,0,,0,2001-11-30 00:27:02 UTC
Gtai,GTAI,0,,0.01,2001-11-30 00:27:02 UTC
H,H,0,,0.04,2001-11-30 00:27:02 UTC
Wifi,WIFI,0,824,0.01,2001-11-30 00:27:02 UTC
Dep,DEP,0,,0.07,2031-12-31 00:26:42 UTC
Dbr,DBR,0,,0.13,2034-12-31 00:26:41 UTC
Hyper,HYPER,0,62250,0.94,2040-12-31 00:26:41 UTC
Lmts,LMTS,0,,0.65,2040-12-31 00:26:41 UTC
Apr,APR,0,,0.13,2040-12-31 00:26:41 UTC
Init,INIT,0,51530,0.45,2042-12-31 00:26:41 UTC
Sign,SIGN,0,,0.21,2046-12-31 00:26:40 UTC
Milk,MILK,0,1670,0.04,2046-12-31 00:26:40 UTC
Kub,KUB,0,3540,0.02,2048-12-31 00:26:40 UTC
Omni,OMNI,0,,0.23,1950-12-31 00:26:40 UTC
Mavia,MAVIA,0,,0.13,1953-12-31 00:26:39 UTC
Layer,LAYER,0,229330,0.07,1959-12-31 00:26:39 UTC
Avalanche,AVAX,0,6690000,0,1959-12-31 00:26:39 UTC
Oasis Network,ROSE,0,,0.01,1965-12-31 00:26:39 UTC
Pyth Network,PYTH,0,,0.37,1967-12-31 00:26:38 UTC
Huma,HUMA,0,,0.2,1974-12-31 00:26:38 UTC
Wet,WET,0,,1.12,1987-12-31 00:26:38 UTC
Home,HOME,0,707660,0.2,1988-12-31 00:26:38 UTC
Spk,SPK,0,704570,0.27,1996-12-31 00:31:38 UTC
Pump,PUMP,0,,0.19,0121-12-31 00:26:37 UTC
Es,ES,0,,0.94,0125-12-31 00:26:37 UTC
Lava,LAVA,0,70210,0.41,0138-12-31 00:26:37 UTC
Prove,PROVE,0,,1.04,0145-12-31 00:26:37 UTC
Fogo,FOGO,0,,0.04,0196-12-31 00:26:36 UTC
Stbl,STBL,0,2450000,0.04,0197-12-31 00:26:36 UTC
2z,2Z,0,,0.48,0203-12-31 00:26:36 UTC
Scr,SCR,0,108150,0.2,0222-12-31 00:26:36 UTC
Ondo,ONDO,0,,0.36,0311-12-31 00:26:36 UTC
Rnbw,RNBW,0,,0.39,0328-12-31 00:26:35 UTC
Xdc,XDC,0,,0.05,0328-12-31 00:26:35 UTC
Neon,NEON,0,,0.06,0511-12-31 00:26:35 UTC
