project_name,token_symbol,circulating_supply,unlock_amount,unlock_percent,unlock_date
EGO,EGO,2.01E+08,5300000,1.59,2026-03-05 23:25:00 UTC
Bulla,BULLA,1.00E+09,18800000,1.88,2026-03-05 23:25:00 UTC
Inspect,INSP,7.98E+08,15490000,1.55,2026-03-05 23:25:00 UTC
MYX Finance,MYX,2.51E+08,30370000,3.04,2026-03-06 07:25:00 UTC
SynFutures,F,3.49E+09,2.00E+08,2,2026-03-06 11:25:00 UTC
Belong,LONG,70960000,34110000,4.55,2026-03-06 11:25:00 UTC
SeaFi,SPT,78640000,1410000,1.41,2026-03-06 23:25:00 UTC
OpenLeverage,OLE,1.89E+08,16079999,1.61,2026-03-06 23:25:00 UTC
Mode,MODE,2.50E+09,1.52E+08,1.52,2026-03-06 23:25:00 UTC
NAVI Protocol,NAVX,8.16E+08,20580000,2.06,2026-03-06 23:25:00 UTC
TaleX,X,1.50E+08,10000000,1,2026-03-06 23:25:00 UTC
Toko Token,TKO,1.70E+08,10000000,2,2026-03-06 23:25:00 UTC
Apex Fusion,AP3X,1.37E+09,86880000,2.9,2026-03-06 23:25:00 UTC
Edu3Labs,NFE,1.04E+08,27140000,3.02,2026-03-06 23:25:00 UTC
WiFi Map,WIFI,6.94E+08,12030000,1.2,2026-03-06 23:25:00 UTC
Saga,SAGA,3.56E+08,11590000,1.06,2026-03-06 23:25:00 UTC
Myria,MYRIA,4.69E+10,7.49E+08,1.5,2026-03-06 23:25:00 UTC
Jito,JTO,4.42E+08,11310000,1.15,2026-03-06 23:25:00 UTC
Self Chain,SLF,1.67E+08,3560000,1.06,2026-03-07 23:25:00 UTC
Crypto Unicorns,CU,47300000,1000000,1,2026-03-07 23:25:00 UTC
Port3 Network,PORT3,6.93E+08,15290000,1.53,2026-03-07 23:25:00 UTC
Trossard,TROSS,6.33E+08,1.00E+08,2,2026-03-07 23:25:00 UTC
Sidekick,K,2.29E+08,17510000,1.75,2026-03-07 23:25:00 UTC
Scallop,SCA,1.48E+08,3940000,1.58,2026-03-07 23:25:00 UTC
Zetarium,ZET,15000000,15950000,15.95,2026-03-07 23:25:00 UTC
Planet Mojo,MOJO,36520000,26180000,2.62,2026-03-07 23:25:00 UTC
Unibit,UIBT,1.00E+09,13120000,1.31,2026-03-07 23:25:00 UTC
MNet,NUUM,1.32E+08,31190000,3.12,2026-03-07 23:25:00 UTC
BiFinanceToken,BFT,16710000,22990000,2.3,2026-03-08 07:25:00 UTC
Seraph,SERAPH,3.19E+08,18770000,1.88,2026-03-08 11:25:00 UTC
Cat Gold Miner,CATGOLD,2.40E+09,3.81E+08,3.81,2026-03-08 23:25:00 UTC
Ta-da,TADA,6.99E+08,17040000,1.7,2026-03-08 23:25:00 UTC
GAM3S.GG,G3,6.63E+08,18420000,1.84,2026-03-08 23:25:00 UTC
Launchblock.com,LBP,3.51E+09,2.50E+08,2.5,2026-03-08 23:25:00 UTC
Movement,MOVE,3.34E+09,1.62E+08,1.62,2026-03-08 23:25:00 UTC
Pepe Unchained (New),PEPU,1.06E+10,1.64E+08,1.03,2026-03-08 23:25:00 UTC
Redacted,RDAC,2.22E+08,26120000,2.61,2026-03-09 16:06:00 UTC
Velvet,VELVET,2.41E+08,18360000,1.84,2026-03-09 23:25:00 UTC
Web3Games.com,WGT,3.25E+08,18740000,1.87,2026-03-09 23:25:00 UTC
BloodLoop,BLS,52410000,9300000,2.66,2026-03-09 23:25:00 UTC
HistoryDAO,HAO,30000000,16920000,1.69,2026-03-09 23:25:00 UTC
Stella,ALPHA,9.61E+08,13000000,1.3,2026-03-09 23:25:00 UTC
Ordify,ORFY,5900000,1080000,1.08,2026-03-09 23:25:00 UTC
PlayDapp,PDA,6.42E+08,7140000,1.02,2026-03-09 23:25:00 UTC
Mind Network,FHE,3.98E+08,10000000,1,2026-03-09 23:25:00 UTC
Allora,ALLO,2.01E+08,13200000,1.32,2026-03-09 23:26:00 UTC
CARV,CARV,5.19E+08,16110000,1.61,2026-03-10 07:25:00 UTC
Powerloom,POWER,3.42E+08,19600000,1.96,2026-03-10 08:25:00 UTC
Rain,RAIN,4.78E+11,3.96E+10,3.44,2026-03-10 11:25:00 UTC
Linea,LINEA,1.55E+10,1.44E+09,2,2026-03-10 14:55:00 UTC
LitLab Games,LITT,2.92E+08,22340000,1,2026-03-10 23:25:00 UTC
Gods Unchained,GODS,4.18E+08,6280000,1.26,2026-03-10 23:25:00 UTC
Magic Square,SQR,4.38E+08,29050000,2.9,2026-03-10 23:25:00 UTC
ArbiPad,ARBI,1.08E+09,1.17E+08,1.17,2026-03-10 23:25:00 UTC
Raft,RAFT,2.50E+08,45070000,1.8,2026-03-10 23:25:00 UTC
Fautor,FTR,9.08E+08,76110000,3.04,2026-03-10 23:25:00 UTC
Ordibank,ORBK,2.51E+08,18870000,1.89,2026-03-10 23:25:00 UTC
IVPAY,IVPAY,9.23E+08,14890000,1.49,2026-03-10 23:25:00 UTC
Holoworld AI,HOLO,4.79E+08,32770000,1.6,2026-03-10 23:25:00 UTC
Reality Metaverse,RMV,2.50E+08,18790000,1.88,2026-03-10 23:25:00 UTC
AI Nexus,A1X,6.15E+08,10940000,1.09,2026-03-10 23:25:00 UTC
Duet Protocol,DUET,10900000,26120000,6.22,2026-03-10 23:25:00 UTC
SatLayer,SLAY,5.67E+08,21000000,1,2026-03-11 09:25:00 UTC
Dappad,APPA,2.32E+08,14020000,1.61,2026-03-11 23:25:00 UTC
Mar3 AI,3-Mar,2.29E+08,37200000,1.86,2026-03-11 23:25:00 UTC
TRIO (OrdinalsBot),TRIO,2790000,410410,1.95,2026-03-11 23:25:00 UTC
Karate Combat,KARATE,6.66E+10,3.39E+09,3.08,2026-03-11 23:25:00 UTC
World3,WAI,3.07E+08,24720000,2.47,2026-03-11 23:25:00 UTC
StarHeroes,STAR,2.53E+08,8070000,1.15,2026-03-11 23:25:00 UTC
Rubic,RBC,1.65E+08,19280000,1.93,2026-03-11 23:25:00 UTC
Space Nation Oikos,OIK,3.47E+08,32580000,3.26,2026-03-11 23:25:00 UTC
AtPay,ATPAY,30000000,4059999,1.35,2026-03-11 23:25:00 UTC
Virtual Versions,VV,3.71E+08,14400000,1.44,2026-03-11 23:25:00 UTC
Vendetta,VDT,34500000,1380000,1.38,2026-03-11 23:25:00 UTC
Unibase,UB,2.50E+09,3.13E+08,3.13,2026-03-11 23:25:00 UTC
HyperGPT,HGPT,8.46E+08,13920000,1.39,2026-03-12 09:25:00 UTC
Checkmate,CHECK,3.11E+08,19440000,1.94,2026-03-12 23:25:00 UTC
DappRadar,RADAR,9.60E+08,1.08E+08,1.08,2026-03-12 23:25:00 UTC
Games for a Living,GFAL,3.85E+09,1.06E+08,1.06,2026-03-12 23:25:00 UTC
MyShell,SHELL,3.28E+08,16219999,1.62,2026-03-12 23:25:00 UTC
ISME Protocol,ISME,55000000,60000000,6,2026-03-12 23:25:00 UTC
Chappyz,CHAPZ,2.37E+09,1.48E+08,1.48,2026-03-12 23:25:00 UTC
FrontFanz,FANX,97690000,14790000,1.48,2026-03-12 23:25:00 UTC
Blast Royale,NOOB,5.12E+08,16940000,3.31,2026-03-13 11:25:00 UTC
Chainbase,C,3.18E+08,11450000,1.14,2026-03-13 23:25:00 UTC
Bubble,BUBBLE,3.73E+09,2.96E+08,2.96,2026-03-13 23:25:00 UTC
Cherry AI,AIBOT,2.22E+08,19900000,1.99,2026-03-13 23:25:00 UTC
Kryptonite,SEILOR,2.20E+08,10610000,1.06,2026-03-13 23:25:00 UTC
Privasea AI,PRAI,2.90E+08,14710000,1.47,2026-03-13 23:25:00 UTC
Pump.fun,PUMP,3.54E+11,1.00E+10,1,2026-03-13 23:25:00 UTC
RepubliK,RPK,9.66E+08,39420000,1.31,2026-03-13 23:25:00 UTC
Pieverse,PIEVERSE,1.92E+08,10000000,1,2026-03-13 23:25:00 UTC
Play Solana,PLAY,1.13E+09,56890000,1.14,2026-03-14 11:25:00 UTC
Puffer,PUFFER,3.93E+08,22770000,2.28,2026-03-14 11:25:00 UTC
Starknet,STRK,5.44E+09,1.63E+08,1.63,2026-03-14 23:25:00 UTC
Trusta.AI,TA,2.55E+08,18980000,1.9,2026-03-14 23:25:00 UTC
Turbos Finance,TURBOS,6.62E+09,1.06E+08,1.06,2026-03-14 23:25:00 UTC
Acala Token,ACA,1.16E+09,25000000,1.56,2026-03-14 23:25:00 UTC
Sei,SEI,6.73E+09,1.21E+08,1.21,2026-03-14 23:25:00 UTC
Humanode,HMND,1.90E+08,5340000,1.34,2026-03-14 23:25:00 UTC
Massa,MAS,4.04E+08,13810000,1.25,2026-03-14 23:25:00 UTC
Staika,STIK,1.38E+08,2750000,1.1,2026-03-14 23:25:00 UTC
OpenEden,EDEN,1.84E+08,42050000,4.21,2026-03-14 23:25:00 UTC
PoP Planet,P,1.40E+08,14050000,1.41,2026-03-14 23:25:00 UTC
Arcade,ARC,35210000,15250000,1.91,2026-03-14 23:25:00 UTC
Katana Network,KAT,2.21E+09,2.04E+08,2.04,2026-03-14 23:25:00 UTC
SentismAI,SENTIS,2.06E+08,10890000,1.09,2026-03-14 23:25:00 UTC
Superpower Squad,SQUAD,1.25E+08,15290000,1.53,2026-03-14 23:25:00 UTC
WhiteBridge Network,WBAI,2.17E+08,27750000,2.78,2026-03-15 10:25:00 UTC
Alltoscan,ATS,1.00E+08,1040000,1.04,2026-03-15 11:25:00 UTC
Drift,DRIFT,5.53E+08,13160000,1.32,2026-03-15 23:25:00 UTC
Solayer,LAYER,3.39E+08,12530000,1.25,2026-03-15 23:25:00 UTC
Verida,VDA,2.77E+08,21430000,2.14,2026-03-15 23:25:00 UTC
ZTX,ZTX,7.49E+09,2.07E+08,2.07,2026-03-15 23:25:00 UTC
Vana,VANA,30080000,1240000,1.03,2026-03-15 23:25:00 UTC
Zebec Network,ZBCN,9.90E+10,1.04E+09,1.04,2026-03-15 23:25:00 UTC
Sharky,SHARK,28810000,1030000,1.03,2026-03-15 23:25:00 UTC
GoPlus Security,GPS,4.31E+09,1.66E+08,1.66,2026-03-16 06:25:00 UTC
Hyperion,RION,19000000,1350000,1.35,2026-03-16 09:25:00 UTC
Parcl,PRCL,4.12E+08,14200000,1.42,2026-03-16 11:25:00 UTC
Project Merlin,MRLN,1.11E+08,24090000,3.01,2026-03-16 12:25:00 UTC
Magma Finance,MAGMA,1.90E+08,10630000,1.06,2026-03-16 17:35:00 UTC
Star AI,MSTAR,6.03E+08,22980000,2.3,2026-03-16 23:25:00 UTC
ApeCoin,APE,7.53E+08,14640000,1.46,2026-03-16 23:25:00 UTC
Cronos,CRO,4.11E+10,1.17E+09,1.17,2026-03-16 23:25:00 UTC
Monsta Infinite,MONI,2.21E+08,3850000,1.43,2026-03-16 23:25:00 UTC
Sixpack Miner,SIXP,57530000,2860000,1.19,2026-03-17 01:07:00 UTC
Solv Protocol,SOLV,1.48E+09,1.87E+08,1.93,2026-03-17 08:25:00 UTC
SubHub,SUBHUB,94000000,28860000,2.89,2026-03-17 15:14:00 UTC
Fusionist,ACE,89980000,2860000,1.94,2026-03-17 23:25:00 UTC
Giants Protocol,G,2.89E+10,2.89E+09,3.28,2026-03-17 23:25:00 UTC
Manta Network,MANTA,4.65E+08,15680000,1.57,2026-03-17 23:25:00 UTC
Genopets,GENE,89830000,1180000,1.18,2026-03-17 23:25:00 UTC
Lombard,BARD,2.25E+08,11350000,1.14,2026-03-17 23:25:00 UTC
AGG,AGG,3.82E+08,2.08E+08,2.08,2026-03-17 23:25:00 UTC
Sabai Protocol,SABAI,5.47E+08,32570000,1.23,2026-03-17 23:24:00 UTC
DAOBase,BEE,1.73E+08,15710000,1.57,2026-03-17 23:24:00 UTC
DeAgentAI,AIA,1.47E+08,15660000,1.57,2026-03-18 07:24:00 UTC
RICE AI,RICE,2.12E+08,10030000,1,2026-03-18 11:24:00 UTC
Mavryk Network,$MVRK,2.26E+08,30760000,3.05,2026-03-18 12:24:00 UTC
PlayZap,PZP,85840000,2150000,1.43,2026-03-18 23:24:00 UTC
KARRAT,KARRAT,7.96E+08,16000000,1.6,2026-03-18 23:24:00 UTC
Rebase GG,IRL,49630000,9480000,1.9,2026-03-18 23:24:00 UTC
Saros,SAROS,2.09E+09,2.20E+08,2.2,2026-03-18 23:24:00 UTC
Pixels,PIXEL,3.19E+09,89370000,1.79,2026-03-18 23:24:00 UTC
Grow Token,GROW,10000000,1330000,1.33,2026-03-18 23:24:00 UTC
Azuro Protocol,AZUR,2.01E+08,26510000,2.65,2026-03-18 23:24:00 UTC
Polyhedra Network,ZKJ,5.80E+08,27940000,2.79,2026-03-18 23:24:00 UTC
Sheertopia,AMBO,1200000,707860,1.69,2026-03-18 23:24:00 UTC
Dill,DL,1.18E+09,2.85E+08,4.75,2026-03-18 23:24:00 UTC
JoJoWorld,JOJO,1.12E+08,8970000,1.12,2026-03-18 23:24:00 UTC
Dinowars,DINW,2069999,986930,1.97,2026-03-18 23:24:00 UTC
Levana Protocol,LVN,8.03E+08,44550000,4.45,2026-03-18 23:24:00 UTC
PrompTale AI,TALE,1.01E+08,10770000,2.15,2026-03-18 23:24:00 UTC
Merlin Chain,MERL,1.16E+09,36140000,1.72,2026-03-18 23:24:00 UTC
AgentLISA,LISA,2.16E+08,29110000,2.91,2026-03-19 17:24:00 UTC
REVOLAND TOKEN,REVO,1.20E+08,1320000,1.1,2026-03-19 23:24:00 UTC
Mignal,MGL,1.00E+09,33930000,3.39,2026-03-19 23:24:00 UTC
Aventis Metaverse,AVTM,7.44E+08,16790000,1.68,2026-03-19 23:24:00 UTC
LayerZero,ZRO,3.03E+08,32610000,3.26,2026-03-19 23:24:00 UTC
School Hack Coin,SHC,2.26E+08,6820000,1.36,2026-03-19 23:24:00 UTC
Octavia AI,VIA,8750000,1020000,1.02,2026-03-19 23:24:00 UTC
KAITO,KAITO,2.41E+08,18100000,1.81,2026-03-19 23:24:00 UTC
Lista DAO,LISTA,2.84E+08,35600000,3.56,2026-03-19 23:24:00 UTC
o-mee,OME,83870000,16000000,2,2026-03-19 23:24:00 UTC
DecentralGPT,DGC,1.57E+11,1.20E+10,1.2,2026-03-19 23:24:00 UTC
Sturdy,STRDY,19120000,1030000,1.03,2026-03-19 23:24:00 UTC
bitsCrunch,BCUT,6.04E+08,15700000,1.57,2026-03-19 23:24:00 UTC
Yooldo,ESPORTS,2.72E+08,37730000,4.19,2026-03-20 08:24:00 UTC
Catizen,CATI,3.98E+08,26460000,2.65,2026-03-20 09:24:00 UTC
Fundtir,FNTR,5550000,10940000,1.36,2026-03-20 23:24:00 UTC
Plume,PLUME,5.12E+09,2.12E+08,2.12,2026-03-20 23:24:00 UTC
Sekuya Multiverse,SKYA,4.03E+08,25250000,2.53,2026-03-20 23:24:00 UTC
Forgotten Playland,FP,5.50E+08,1.04E+08,1.04,2026-03-20 23:24:00 UTC
AriaAI,ARIA,2.97E+08,16059999,1.61,2026-03-20 23:24:00 UTC
Xertra,STRAX,2.06E+09,75000000,3.42,2026-03-20 23:24:00 UTC
Alliance Games,COA,4.15E+08,24710000,1.24,2026-03-20 23:24:00 UTC
Vertex Protocol,VRTX,5.28E+08,9960000,1,2026-03-20 23:24:00 UTC
Mamo,MAMO,5.83E+08,27450000,2.75,2026-03-21 06:24:00 UTC
Masters of Trivia,MOT,2720000,15000000,3,2026-03-21 09:18:00 UTC
DeLorean,DMC,5.73E+09,3.87E+08,3.02,2026-03-21 10:24:00 UTC
Balance,EPT,3.74E+09,1.68E+08,1.68,2026-03-21 11:24:00 UTC
MineD,DIGI,2.51E+10,2.98E+09,2.98,2026-03-21 23:24:00 UTC
Fjord Foundry,FJO,32000000,1560000,1.56,2026-03-21 23:24:00 UTC
Scroll,SCR,1.90E+08,11110000,1.11,2026-03-21 23:24:00 UTC
Amazy,AZY,40920000,11380000,1.14,2026-03-21 23:24:00 UTC
Sociapol,SPOL,3.63E+09,2.16E+09,2.16,2026-03-21 23:24:00 UTC
World of Legends,WOL,0,3050000,3.05,2026-03-21 23:24:00 UTC
MultiBank Group,MBG,1.91E+08,28310000,2.83,2026-03-21 23:24:00 UTC
SPACE ID,ID,1.30E+09,72650000,3.63,2026-03-21 23:24:00 UTC
Haven1,H1,1.97E+08,51490000,2.57,2026-03-21 23:24:00 UTC
River,RIVER,19600000,2049999,2.05,2026-03-22 12:24:00 UTC
SubQuery Network,SQT,3.62E+09,1.82E+08,1.78,2026-03-22 23:24:00 UTC
Y8U,Y8U,24550000,23650000,2.35,2026-03-22 23:24:00 UTC
Digiverse,DIGI,2490000,1780000,1.78,2026-03-22 23:24:00 UTC
Animecoin,ANIME,5.53E+09,1.30E+08,1.3,2026-03-22 23:24:00 UTC
Godcoin,GOD,1.82E+08,24050000,3.09,2026-03-22 23:24:00 UTC
Cros,CROS,1.00E+09,25750000,2.57,2026-03-22 23:24:00 UTC
BRC-20 DEX,BD20,5.35E+08,18880000,1.89,2026-03-22 23:24:00 UTC
Devomon,EVO,9.31E+08,44000000,1.1,2026-03-22 23:24:00 UTC
Kyuzo's Friends,KO,2.18E+08,14500000,1.45,2026-03-22 23:24:00 UTC
Bless,BLESS,1.84E+09,1.93E+08,1.93,2026-03-22 23:24:00 UTC
Playbux,PBUX,3.94E+08,7850000,1.96,2026-03-22 23:24:00 UTC
THEROS,THEROS,1.21E+08,4660000,2.22,2026-03-23 04:24:00 UTC
Puffpaw,VAPE,1.40E+08,52340000,5.23,2026-03-23 11:24:00 UTC
Avail,AVAIL,3.71E+09,2.28E+08,2.11,2026-03-23 11:24:00 UTC
Exverse,EXVG,32159999,9760000,2.44,2026-03-23 23:24:00 UTC
LightLink,LL,81670000,25540000,2.55,2026-03-23 23:24:00 UTC
PLEXUS,PLX,1.98E+08,8870000,1.77,2026-03-23 23:24:00 UTC
Spacecoin,SPACE,2.15E+09,9.38E+08,4.47,2026-03-23 23:24:00 UTC
Token IN,TIN,20770000,1200000,1.2,2026-03-23 23:24:00 UTC
Pop Social,PPT,85630000,5300000,2.65,2026-03-23 23:24:00 UTC
The Moon Metaverse,2MOON,6.35E+10,3.12E+09,3.12,2026-03-23 23:24:00 UTC
Orochi Network,ON,1.44E+08,13120000,1.31,2026-03-24 09:24:00 UTC
Nillion,NIL,3.14E+08,1.14E+08,11.45,2026-03-24 12:24:00 UTC
Letit,LETIT,63990000,1800000,1.8,2026-03-24 23:24:00 UTC
WalletConnect Token,WCT,3.51E+08,16510000,1.65,2026-03-24 23:24:00 UTC
Altlayer,ALT,5.68E+09,1.95E+08,1.95,2026-03-24 23:24:00 UTC
Particle Network,PARTI,4.50E+08,89300000,8.93,2026-03-24 23:24:00 UTC
TEMMARKET,TEM,1.78E+09,1.55E+08,3.1,2026-03-24 23:24:00 UTC
Hibiki Run,HUT,1.34E+08,37420000,1.87,2026-03-24 23:24:00 UTC
Pintu Token,PTU,23360000,3820000,1.27,2026-03-24 23:24:00 UTC
Volaris Games,VOLS,3.59E+08,31670000,3.17,2026-03-25 01:24:00 UTC
Humanity Protocol,H,2.51E+09,1.05E+08,1.05,2026-03-25 08:24:00 UTC
OVERTAKE,TAKE,2.27E+08,22040000,2.2,2026-03-25 09:24:00 UTC
Dechat,DECHAT,4890000,,1.35,2026-03-25 23:24:00 UTC
TRALA,TRALA,38520000,13340000,1.33,2026-03-25 23:24:00 UTC
Juice Finance,JUICE,1.72E+08,23170000,2.32,2026-03-25 23:24:00 UTC
LinqAI,LNQ,3.56E+08,13930000,1.39,2026-03-25 23:24:00 UTC
OrangeDX,O4DX,76500000,1580000,1.58,2026-03-25 23:24:00 UTC
Sahara AI,SAHARA,2.90E+09,1.00E+08,1,2026-03-25 23:24:00 UTC
XOCIETY,XO,7.50E+08,1.55E+08,3.1,2026-03-26 10:16:00 UTC
Mira,MIRA,2.45E+08,23600000,2.36,2026-03-26 11:24:00 UTC
SnapX,XNAP,2.87E+08,18480000,1.48,2026-03-26 12:42:00 UTC
Sharpe AI,SAI,1.12E+08,22970000,2.3,2026-03-26 23:24:00 UTC
NFPrompt,NFP,5.08E+08,14510000,1.45,2026-03-26 23:24:00 UTC
